application_id,customer_id,application_date,age,income,employment,home_ownership,region,credit_history_years,loan_amount,term_months,late_payments,debt_to_income,sent_to_collections,default
A02320,CU01698,2021-01-01,50,17300.0,Self-employed,Own,South,5,15500.0,36,4,1.023,1,1
A01118,CU00828,2021-01-01,56,50400.0,Public sector,Rent,West,11,11700.0,36,0,0.463,0,0
A00612,CU00445,2021-01-02,39,43900.0,Self-employed,Mortgage,West,12,20900.0,60,1,0.873,0,0
A01370,CU00998,2021-01-02,36,15100.0,Salaried,Mortgage,East,11,7600.0,24,0,0.649,0,0
A01804,CU01319,2021-01-02,63,31000.0,Salaried,Own,West,12,12500.0,12,0,0.651,0,0
A00413,CU00305,2021-01-03,41,34600.0,Self-employed,Rent,North,10,29700.0,60,0,1.066,1,1
A01727,CU01263,2021-01-03,57,16600.0,Salaried,Rent,South,15,8100.0,60,0,0.719,0,0
A02840,CU02080,2021-01-03,43,22800.0,Salaried,Mortgage,East,11,16400.0,12,0,0.976,0,0
A01664,CU01211,2021-01-04,41,29900.0,Salaried,Own,East,15,15400.0,60,0,0.774,0,0
A00636,CU00460,2021-01-04,41,50000.0,Salaried,Rent,West,9,19300.0,12,0,0.643,0,0
A00455,CU00334,2021-01-04,37,73200.0,Salaried,Own,East,13,16800.0,60,1,0.37,0,0
A00768,CU00546,2021-01-05,30,91100.0,Salaried,Own,East,9,26500.0,12,0,0.521,0,0
A02938,CU02153,2021-01-05,32,56800.0,Salaried,Mortgage,West,0,45800.0,60,1,1.028,0,0
A01792,CU01310,2021-01-05,38,67800.0,Public sector,Mortgage,East,4,20000.0,12,1,0.562,0,0
A00955,CU00702,2021-01-05,39,48500.0,Self-employed,Rent,East,5,38000.0,24,1,0.998,0,0
A02942,CU02155,2021-01-06,51,36100.0,Salaried,Rent,East,9,31000.0,24,0,1.145,1,1
A01070,CU00793,2021-01-06,31,82800.0,Salaried,Rent,East,11,36100.0,24,0,0.783,0,0
A02586,CU01884,2021-01-06,28,39200.0,Salaried,Own,North,7,11600.0,24,1,0.363,0,0
A01301,CU00950,2021-01-06,42,81100.0,Salaried,Own,South,14,16600.0,24,1,0.495,1,1
A01581,CU01150,2021-01-07,50,32800.0,Salaried,Rent,East,0,10600.0,36,0,0.455,0,0
A01318,CU00959,2021-01-07,34,26000.0,Self-employed,Mortgage,East,11,20500.0,36,1,0.898,0,0
A01368,CU00998,2021-01-08,36,15100.0,Salaried,Mortgage,East,11,11300.0,60,1,0.919,0,0
