date,sales,promo,temperature
2023-01-01,173.9,0,14.7
2023-01-02,151.7,0,15.5
2023-01-03,176.0,0,12.4
2023-01-04,166.9,0,14.3
2023-01-05,180.9,0,15.6
2023-01-06,194.1,0,10.4
2023-01-07,197.4,0,11.0
2023-01-08,183.9,0,14.7
2023-01-09,172.2,0,16.3
2023-01-10,159.4,0,10.6
2023-01-11,175.6,0,12.0
2023-01-12,172.4,0,10.5
2023-01-13,212.4,0,9.0
2023-01-14,220.0,1,11.7
2023-01-15,155.8,0,12.8
2023-01-16,169.6,0,11.6
2023-01-17,225.5,1,15.6
2023-01-18,186.3,0,10.7
2023-01-19,177.0,0,13.9
2023-01-20,199.8,0,12.5
2023-01-21,186.7,0,13.4
2023-01-22,192.2,0,14.7
2023-01-23,217.7,1,12.3
2023-01-24,190.2,0,14.3
2023-01-25,170.4,0,16.1
2023-01-26,180.8,0,14.6
2023-01-27,202.3,0,12.4
2023-01-28,177.6,0,11.5
2023-01-29,224.0,1,12.4
2023-01-30,179.1,0,15.9
2023-01-31,181.4,0,13.5
2023-02-01,193.5,0,12.9
2023-02-02,178.1,0,13.8
2023-02-03,203.6,0,14.4
2023-02-04,192.2,0,10.6
2023-02-05,191.8,0,15.7
2023-02-06,217.4,1,16.4
2023-02-07,190.0,0,12.9
2023-02-08,183.5,0,12.6
2023-02-10,201.4,0,12.9
2023-02-11,214.8,0,15.2
2023-02-12,201.2,0,15.4
2023-02-13,183.0,0,13.9
2023-02-14,179.7,0,14.8
2023-02-16,187.1,0,18.3
2023-02-17,222.9,0,15.9
2023-02-18,229.7,0,9.2
2023-02-19,187.7,0,15.5
2023-02-20,183.6,0,11.1
2023-02-21,164.7,0,15.7
2023-02-22,181.8,0,16.7
2023-02-23,179.7,0,18.3
2023-02-24,207.3,0,16.4
2023-02-25,211.2,0,13.4
2023-02-26,176.0,0,15.8
2023-02-27,190.0,0,13.9
2023-02-28,190.0,0,13.0
2023-03-01,206.0,0,13.4
2023-03-02,204.7,0,14.0
2023-03-03,210.9,0,16.9
2023-03-04,231.7,0,15.1
2023-03-05,228.8,0,14.1
2023-03-06,209.6,0,15.4
2023-03-07,208.8,0,16.8
2023-03-08,,0,13.4
2023-03-09,176.3,0,13.4
2023-03-10,213.5,0,12.7
2023-03-11,212.7,0,15.3
2023-03-12,192.7,0,15.6
2023-03-13,201.3,0,15.6
2023-03-14,208.1,0,18.7
2023-03-15,208.0,0,13.1
2023-03-16,221.5,0,13.7
2023-03-17,243.4,0,20.3
2023-03-18,198.9,0,17.5
2023-03-19,201.4,0,16.9
2023-03-20,201.6,0,19.9
2023-03-21,186.3,0,15.3
2023-03-22,186.7,0,16.8
2023-03-23,203.0,0,17.9
2023-03-24,219.7,0,21.4
2023-03-25,241.8,0,15.9
2023-03-26,235.8,0,20.7
2023-03-27,209.6,0,16.0
2023-03-28,220.5,0,20.0
2023-03-29,212.6,0,22.3
2023-03-30,210.0,0,19.1
2023-03-31,226.8,0,17.8
2023-04-01,221.5,0,20.7
2023-04-02,273.1,1,21.0
2023-04-03,228.2,0,20.1
2023-04-04,236.3,0,19.7
2023-04-06,259.2,1,21.7
2023-04-07,244.6,0,21.7
2023-04-08,585.0,0,21.6
2023-04-09,224.7,0,23.0
