firm_id,year,sector,revenue,employees,rnd_spend,profit
F01,2011,Services,42208.7,55.9,108.23,3659.9
F01,2012,Services,49151.8,57.3,114.64,4521.9
F01,2013,Services,57274.2,68.0,145.08,3456.1
F01,2014,Services,54439.4,60.0,119.61,5407.2
F01,2015,Services,72680.1,71.1,145.69,8592.7
F01,2016,Services,55439.6,73.3,143.07,6377.7
F01,2017,Services,72925.1,80.6,164.57,5488.5
F01,2018,Services,55026.8,70.2,134.4,5883.1
F01,2019,Services,67276.2,82.3,,9584.2
F01,2020,Services,68731.6,83.6,,3483.2
F01,2021,Services,91166.6,81.4,158.98,6886.0
F01,2022,Services,73294.3,85.6,167.01,8327.6
F01,2023,Services,78747.2,87.6,,4183.2
F02,2010,Technology,45613.3,39.9,233.66,3508.0
F02,2011,Technology,47083.9,38.7,234.85,3375.8
F02,2012,Technology,62120.3,45.6,277.58,5323.4
F02,2013,Technology,59673.1,45.3,272.88,1395.2
F02,2014,Technology,60435.2,44.9,272.13,6720.5
F02,2015,Technology,80655.2,47.5,292.8,6271.3
F02,2016,Technology,61470.7,51.8,313.45,7384.2
F02,2017,Technology,52881.5,47.3,280.74,2136.6
F02,2018,Technology,85275.3,52.8,314.47,8844.0
F02,2019,Technology,94448.3,58.0,349.79,6747.7
F02,2020,Technology,102320.2,60.7,367.45,13683.1
F02,2021,Technology,94147.2,57.1,338.63,3646.3
F02,2022,Technology,127833.6,61.0,,10487.4
F02,2023,Technology,103506.8,58.5,355.98,8464.1
F03,2010,Agriculture,78702.1,59.4,119.09,8292.8
F03,2011,Agriculture,103120.6,64.4,127.73,14861.5
F03,2012,Agriculture,99110.2,63.5,126.93,14258.5
F03,2013,Agriculture,96314.2,58.4,121.58,9615.5
F03,2014,Agriculture,118807.1,63.8,129.94,15574.7
F03,2015,Agriculture,101860.2,69.8,140.24,14088.6
F03,2016,Agriculture,126374.9,82.2,161.88,13389.2
F03,2017,Agriculture,136964.7,75.6,142.05,19644.4
F03,2018,Agriculture,138890.8,79.2,159.2,11959.4
F03,2019,Agriculture,139836.5,82.2,,16734.8
F03,2020,Agriculture,136636.0,87.8,177.18,2878.5
F03,2021,Agriculture,190557.5,96.7,,25256.9
F03,2022,Agriculture,176583.3,91.4,,11915.5
F03,2023,Agriculture,148595.7,72.7,148.19,8330.7
F04,2015,Manufacturing,56404.5,32.9,71.8,2605.3
F04,2016,Manufacturing,66353.6,32.8,69.71,9010.7
F04,2017,Manufacturing,46051.0,29.5,62.6,2559.5
F04,2018,Manufacturing,56371.2,33.5,62.91,2588.4
F04,2019,Manufacturing,55014.7,30.8,61.94,4394.4
F04,2020,Manufacturing,43124.0,32.0,66.13,6417.4
F04,2021,Manufacturing,70346.7,41.9,,6063.0
F05,2010,Services,40583.6,60.2,115.48,862.7
F05,2011,Services,48800.1,61.2,108.29,3376.4
F05,2012,Services,46491.0,60.7,126.79,2192.9
F05,2013,Services,43784.4,59.4,118.39,1831.5
F05,2014,Services,54676.1,68.2,132.69,1549.4
F05,2015,Services,38955.5,55.7,,936.6
F05,2016,Services,42998.5,61.7,120.93,1678.8
F05,2017,Services,49699.2,66.0,132.93,1158.1
F05,2018,Services,50373.8,70.2,140.64,1480.4
F05,2019,Services,69575.5,71.0,142.36,2533.0
F05,2020,Services,45684.0,66.1,128.29,1150.9
F05,2021,Services,61949.6,73.0,143.01,1489.9
F05,2022,Services,57334.6,76.7,159.64,4962.4
F05,2023,Services,63828.6,79.4,158.86,4785.8
F06,2010,Technology,542892.3,77.9,472.73,70752.4
F06,2011,Technology,769737.9,87.1,526.99,107779.4
F06,2012,Technology,1620148.6,105.1,636.11,238764.8
F06,2013,Technology,907150.1,90.7,539.36,110416.0
F06,2014,Technology,1247100.5,93.2,566.92,149642.3
F06,2015,Technology,1385492.7,101.2,610.9,117238.7
F06,2016,Technology,1490160.2,101.6,609.82,53895.4
F06,2017,Technology,1480460.2,108.9,646.55,98678.1
F06,2018,Technology,1860738.0,110.4,650.32,93813.1
F06,2019,Technology,1509417.0,102.3,609.21,192782.0
F06,2020,Technology,1531206.0,110.3,657.11,210558.2
F06,2021,Technology,2506740.3,116.5,702.84,313894.6
F06,2022,Technology,3053764.1,128.5,769.8,200293.3
F06,2023,Technology,3568145.0,125.0,749.42,330787.7
F07,2010,Agriculture,46646.5,48.9,101.97,6843.4
F07,2011,Agriculture,57389.3,45.4,91.67,3200.4
F07,2012,Agriculture,67702.7,57.2,123.28,10040.0
F07,2013,Agriculture,57897.7,53.9,109.41,5287.1
F07,2014,Agriculture,56244.5,54.7,113.02,4399.8
F07,2015,Agriculture,73498.3,60.0,123.06,4695.2
F07,2016,Agriculture,63278.3,61.6,124.55,3924.4
F07,2017,Agriculture,87321.2,64.2,125.6,10167.6
F07,2018,Agriculture,66237.2,57.6,125.06,2409.1
F07,2019,Agriculture,90520.7,68.9,,3756.4
F07,2020,Agriculture,71131.5,62.0,129.88,6902.2
F07,2021,Agriculture,78914.9,60.7,125.42,6628.6
F07,2022,Agriculture,64773.5,58.7,,5526.0
F07,2023,Agriculture,95305.4,71.5,136.86,9131.9
F08,2010,Manufacturing,274445.7,100.9,200.13,29304.3
F08,2011,Manufacturing,232116.0,98.6,189.35,20497.8
F08,2012,Manufacturing,347655.2,127.5,250.46,7005.6
F08,2013,Manufacturing,342789.0,115.3,237.36,15728.4
F08,2014,Manufacturing,424955.3,126.4,256.0,34660.9
F08,2015,Manufacturing,349985.5,115.4,238.0,47480.1
F08,2016,Manufacturing,407591.2,125.6,246.87,21359.1
F08,2017,Manufacturing,396233.8,123.9,,43969.8
F08,2018,Manufacturing,354544.0,123.9,259.4,18735.8
F08,2019,Manufacturing,462005.0,131.7,266.24,47570.0
F08,2020,Manufacturing,350852.4,126.1,,24856.0
F08,2021,Manufacturing,517286.7,144.8,,40201.1
F08,2022,Manufacturing,489676.5,139.1,,46176.4
F08,2023,Manufacturing,715551.2,163.7,332.45,43161.6
F09,2010,Services,84476.4,55.6,109.24,7004.2
F09,2011,Services,102993.7,68.2,136.87,3831.2
F09,2012,Services,108437.5,66.0,,6762.1
F09,2013,Services,102647.1,69.3,140.54,9712.3
F09,2014,Services,99110.4,66.8,134.43,12861.7
F09,2015,Services,97008.5,70.3,,2364.5
F09,2016,Services,168986.8,83.0,,14177.9
F09,2017,Services,104963.1,73.0,140.96,7797.8
F09,2018,Services,111691.0,66.9,136.51,14831.9
F09,2019,Services,128391.9,73.3,151.08,19087.7
F09,2020,Services,113860.4,79.6,161.44,16146.9
F09,2021,Services,122069.4,77.3,157.28,8598.4
F09,2022,Services,142775.5,90.8,185.69,19056.1
F09,2023,Services,204812.6,99.0,196.08,16243.3
F10,2010,Technology,203422.5,65.2,386.93,19804.0
F10,2011,Technology,251432.2,66.3,390.92,5437.6
F10,2012,Technology,233483.6,68.7,412.46,22192.1
F10,2013,Technology,231785.2,65.2,387.44,12665.3
F10,2014,Technology,240353.0,64.8,392.43,21639.0
F10,2015,Technology,252643.6,67.1,399.85,14162.1
F11,2012,Agriculture,39691.6,48.4,89.12,1287.2
F11,2013,Agriculture,40806.4,49.8,101.16,4956.9
F11,2014,Agriculture,42734.0,55.5,110.73,5437.3
F11,2015,Agriculture,48760.4,64.0,122.54,3809.3
F11,2016,Agriculture,49101.3,57.1,120.52,4919.0
F11,2017,Agriculture,55480.2,59.3,118.46,5578.0
F11,2018,Agriculture,52408.0,67.3,133.86,1384.6
F11,2019,Agriculture,43795.9,61.4,,1370.0
F11,2020,Agriculture,46718.7,65.0,125.03,5390.4
F11,2021,Agriculture,57408.4,71.6,140.27,5853.9
F11,2022,Agriculture,68346.8,68.2,137.18,5951.9
F11,2023,Agriculture,58555.5,74.0,144.63,8278.7
F12,2010,Manufacturing,23701.2,46.6,93.43,1210.3
F12,2011,Manufacturing,30033.4,45.8,97.52,1973.0
F12,2012,Manufacturing,29142.1,51.9,102.52,1047.6
F12,2013,Manufacturing,25106.4,46.7,89.64,3163.2
F12,2014,Manufacturing,25307.4,49.9,102.85,1790.7
F12,2015,Manufacturing,40490.8,61.3,118.36,4284.9
F12,2016,Manufacturing,35694.2,53.5,110.81,4365.3
F12,2017,Manufacturing,31844.1,55.4,,3444.9
F12,2018,Manufacturing,28395.5,48.0,86.85,2161.4
F12,2019,Manufacturing,34388.2,56.9,,1111.1
F12,2020,Manufacturing,26742.7,58.9,118.55,1922.3
