student_id,teaching_method,gender,school_type,study_hours,pre_score,post_score,attendance_pct,result
S001,Lecture,Female,Private,7.5,64.5,79.1,89.0,Pass
S002,Lecture,Female,Public,8.2,49.2,69.3,83.0,Pass
S003,Lecture,Female,Public,12.6,59.4,76.3,96.0,Pass
S004,Lecture,Female,Public,7.7,79.1,82.3,94.0,Pass
S005,Lecture,Male,Public,6.6,60.0,70.2,77.0,Pass
S006,Lecture,Male,Private,2.6,55.2,61.2,94.0,Pass
S007,Lecture,Male,Private,4.4,46.2,54.4,98.0,Fail
S008,Lecture,Male,Private,5.0,55.0,65.8,86.0,Pass
S009,Lecture,Male,Private,5.3,43.6,41.7,82.0,Fail
S010,Lecture,Male,Public,4.2,73.6,81.3,89.0,Pass
S011,Lecture,Male,Public,10.8,52.8,65.5,98.0,Pass
S012,Lecture,Male,Private,0.6,72.2,69.0,80.0,Pass
S013,Lecture,Male,Private,3.8,77.3,100.0,96.0,Pass
S014,Lecture,Female,Private,6.9,42.2,43.8,83.0,Fail
S015,Lecture,Female,Public,7.3,48.8,60.6,73.0,Pass
S016,Lecture,Female,Private,4.2,42.1,34.8,60.0,Fail
S017,Lecture,Female,Private,7.3,50.3,56.1,60.0,Fail
S018,Lecture,Male,Private,9.7,48.2,56.1,89.0,Fail
S019,Lecture,Female,Public,5.3,54.6,53.6,92.0,Fail
S020,Lecture,Female,Public,6.9,67.3,81.2,88.0,Pass
S021,Lecture,Female,Public,6.0,68.0,69.3,84.0,Pass
S022,Lecture,Male,Private,4.1,79.4,85.7,86.0,Pass
S023,Lecture,Female,Public,3.1,69.9,77.4,73.0,Pass
S024,Lecture,Female,Private,4.0,44.3,51.7,50.0,Fail
S025,Lecture,Male,Private,5.1,70.4,76.9,73.0,Pass
S026,Lecture,Female,Private,3.1,68.5,70.7,79.0,Pass
S027,Lecture,Male,Private,5.6,55.3,66.6,86.0,Pass
S028,Lecture,Female,Private,5.7,44.3,52.5,91.0,Fail
S029,Lecture,Female,Private,6.5,64.2,83.0,77.0,Pass
S030,Lecture,Female,Public,3.4,62.8,68.8,93.0,Pass
S031,Lecture,Female,Public,7.0,53.2,69.9,91.0,Pass
S032,Lecture,Male,Public,4.8,65.3,50.1,72.0,Fail
S033,Lecture,Female,Public,7.8,47.2,49.9,64.0,Fail
S034,Lecture,Male,Public,6.0,45.2,53.0,65.0,Fail
S035,Lecture,Female,Private,1.9,57.4,60.2,73.0,Pass
S036,Lecture,Male,Private,3.6,46.4,56.8,75.0,Fail
S037,Lecture,Male,Private,6.3,72.5,83.1,75.0,Pass
S038,Lecture,Male,Public,6.6,59.1,58.2,74.0,Fail
S039,Lecture,Female,Private,7.3,68.4,80.1,81.0,Pass
S040,Lecture,Female,Private,5.3,64.5,70.8,60.0,Pass
S041,Lecture,Female,Private,3.6,68.5,74.6,75.0,Pass
S042,Lecture,Female,Public,13.2,67.8,70.5,74.0,Pass
S043,Lecture,Female,Private,8.9,65.4,75.9,87.0,Pass
S044,Lecture,Female,Public,8.7,59.6,71.1,70.0,Pass
S045,Lecture,Male,Private,6.0,97.3,100.0,86.0,Pass
S046,Lecture,Male,Public,15.6,58.5,83.7,71.0,Pass
S047,Lecture,Male,Public,3.4,68.2,62.7,92.0,Pass
S048,Lecture,Male,Private,7.3,53.4,60.3,82.0,Pass
S049,Lecture,Male,Public,4.6,72.5,76.6,79.0,Pass
S050,Lecture,Male,Public,5.6,80.6,88.3,92.0,Pass
S051,Lecture,Male,Private,10.2,53.2,60.4,89.0,Pass
S052,Lecture,Female,Private,12.0,64.3,86.8,95.0,Pass
S053,Lecture,Female,Private,9.1,63.8,77.8,73.0,Pass
S054,Lecture,Female,Public,2.8,58.8,71.4,65.0,Pass
S055,Lecture,Female,Public,11.0,73.4,92.9,61.0,Pass
S056,Lecture,Female,Public,2.7,65.7,66.1,59.0,Pass
S057,Lecture,Male,Public,3.4,66.7,79.4,68.0,Pass
S058,Lecture,Female,Public,12.9,54.2,70.6,57.0,Pass
S059,Lecture,Female,Public,10.0,55.4,70.7,68.0,Pass
S060,Lecture,Male,Public,9.3,55.1,61.1,72.0,Pass
S061,Lecture,Female,Public,9.7,64.5,86.1,69.0,Pass
S062,Lecture,Female,Private,5.4,57.5,51.6,91.0,Fail
S063,Lecture,Female,Public,2.3,69.9,79.6,73.0,Pass
S064,Lecture,Male,Private,5.4,52.1,57.1,71.0,Fail
S065,Lecture,Male,Private,3.4,46.9,56.1,93.0,Fail
S066,Lecture,Male,Private,9.1,36.6,55.6,89.0,Fail
S067,Lecture,Male,Public,8.8,73.0,89.1,82.0,Pass
S068,Lecture,Male,Public,6.0,85.4,86.0,91.0,Pass
S069,Lecture,Male,Public,6.0,68.3,75.0,86.0,Pass
S070,Lecture,Female,Private,6.5,60.1,73.8,64.0,Pass
S071,Lecture,Male,Public,3.6,43.0,44.9,86.0,Fail
S072,Lecture,Female,Public,3.2,53.5,48.4,85.0,Fail
S073,Lecture,Male,Public,5.2,50.1,48.4,92.0,Fail
S074,Lecture,Male,Private,3.2,69.3,68.6,85.0,Pass
S075,Lecture,Female,Public,12.9,66.6,84.3,85.0,Pass
S076,Lecture,Female,Public,1.2,73.4,74.3,86.0,Pass
S077,Lecture,Female,Public,2.3,53.1,63.1,75.0,Pass
S078,Lecture,Female,Public,7.9,56.8,67.0,75.0,Pass
S079,Lecture,Male,Public,16.2,39.4,62.9,49.0,Pass
S080,Lecture,Male,Public,8.0,54.0,51.4,89.0,Fail
S081,Flipped,Female,Public,9.4,72.6,78.0,92.0,Pass
S082,Flipped,Male,Public,10.1,58.2,69.5,69.0,Pass
