respondent_id,age,gender,region,education,income,work_hours,stress_score,job_satisfaction,q1,q2,q3,q4,q5
R0001,59,Female,East,Bachelor,,48.2,34.0,2,2,3.0,1,1.0,1
R0002,41,Female,East,Secondary,15440.0,39.0,26.2,4,3,,4,5.0,2
R0003,44,Male,South,PhD,,39.2,27.3,2,2,2.0,1,,3
R0004,55,Male,North,Master,30140.0,35.0,24.7,4,4,3.0,4,5.0,4
R0005,51,Male,Center,Bachelor,16160.0,29.5,39.0,4,3,5.0,4,3.0,4
R0006,48,Female,West,Bachelor,16100.0,38.0,35.4,4,5,4.0,4,4.0,2
R0007,35,Male,South,Bachelor,28770.0,47.0,36.4,3,4,3.0,4,3.0,4
R0008,27,Female,North,Master,,57.5,49.9,3,4,3.0,3,3.0,3
R0009,45,Male,West,Bachelor,36580.0,43.0,39.7,2,2,1.0,2,2.0,2
R0010,33,Female,South,Primary,15870.0,31.1,29.4,3,2,4.0,3,3.0,3
R0011,51,Male,South,Secondary,22240.0,43.4,39.1,2,2,3.0,2,2.0,2
R0012,43,Female,East,Bachelor,14450.0,43.2,32.7,4,4,4.0,4,4.0,2
R0013,30,Female,South,Bachelor,16710.0,-99.0,,4,5,4.0,4,4.0,4
R0014,43,Male,East,Secondary,9450.0,33.6,28.9,4,5,5.0,3,4.0,5
R0015,49,Male,Center,Secondary,22980.0,43.3,38.3,4,4,3.0,4,2.0,3
R0016,42,Male,North,Master,24350.0,41.3,45.2,3,3,2.0,3,4.0,4
R0017,30,Male,Center,Master,,52.4,31.0,5,5,,4,5.0,5
R0018,43,Female,West,Bachelor,17500.0,39.7,22.2,4,5,5.0,4,5.0,4
R0019,45,Male,South,Secondary,20200.0,44.0,26.6,3,2,3.0,3,2.0,3
R0020,51,Male,Center,Bachelor,19680.0,47.0,32.4,5,5,,5,5.0,5
R0021,49,Male,West,Master,,55.6,45.3,2,2,2.0,2,3.0,1
R0022,28,Female,North,Master,14640.0,44.1,49.8,4,4,4.0,3,3.0,4
R0023,34,Female,Center,Bachelor,20080.0,41.0,43.8,2,2,1.0,2,1.0,3
R0024,48,Female,Center,Master,23350.0,38.8,22.0,4,4,5.0,5,3.0,5
R0025,18,Male,West,Secondary,6480.0,30.3,26.1,5,5,4.0,5,5.0,4
R0026,50,Male,West,Bachelor,16860.0,45.8,40.8,3,3,3.0,3,2.0,3
R0027,29,Male,South,Primary,20780.0,44.7,36.8,4,4,4.0,4,4.0,4
R0028,35,Female,North,Master,,53.2,43.9,3,4,3.0,3,4.0,3
R0029,59,Male,West,Secondary,20210.0,45.3,30.0,4,5,5.0,3,4.0,4
R0030,39,Female,West,Secondary,29450.0,61.1,52.4,3,4,4.0,3,4.0,5
R0031,36,Female,North,Master,28330.0,57.2,38.1,5,5,5.0,5,4.0,4
R0032,44,Female,East,Bachelor,,49.3,36.6,3,5,3.0,4,3.0,4
R0033,39,Female,East,Secondary,17420.0,46.1,,4,2,4.0,2,3.0,5
R0034,32,Female,West,Master,17630.0,51.8,48.2,3,3,3.0,2,5.0,4
R0035,43,Male,East,Master,25060.0,38.3,28.8,4,5,4.0,4,3.0,4
R0036,68,Female,West,Bachelor,45390.0,46.3,36.3,3,1,4.0,5,3.0,2
R0037,52,Female,East,Bachelor,21570.0,41.8,40.4,5,5,5.0,5,5.0,4
R0038,46,Female,West,Secondary,7310.0,41.1,34.7,3,4,4.0,3,3.0,5
R0039,43,Male,North,Secondary,20450.0,41.9,24.1,4,3,4.0,3,3.0,5
R0040,50,Male,Center,Bachelor,,46.4,43.9,4,4,5.0,4,4.0,4
R0041,48,Male,North,Secondary,7630.0,36.6,34.3,2,2,2.0,2,2.0,1
R0042,29,Male,North,Secondary,14120.0,35.9,,3,4,3.0,4,2.0,2
R0043,47,Female,West,Master,,40.3,29.6,4,5,4.0,4,5.0,4
R0044,41,Female,East,Secondary,17200.0,49.2,40.8,3,3,3.0,3,3.0,2
R0045,62,Female,South,Primary,21510.0,37.6,43.8,4,4,5.0,4,4.0,5
R0046,37,Female,East,Primary,12640.0,33.7,16.5,3,4,3.0,2,3.0,2
R0047,56,Female,North,Secondary,21110.0,49.6,40.6,2,4,,2,4.0,2
R0048,25,Female,South,Bachelor,,46.1,39.0,5,3,5.0,5,4.0,4
R0049,44,Male,Center,Bachelor,14460.0,45.0,49.8,3,4,5.0,3,4.0,3
R0050,31,Female,West,Bachelor,19280.0,45.1,47.1,3,2,2.0,3,4.0,3
R0051,29,Female,South,Bachelor,,32.2,25.4,3,3,4.0,2,1.0,1
R0052,50,Male,East,Bachelor,18610.0,38.6,31.2,3,3,3.0,2,3.0,3
R0053,27,Female,Center,Secondary,11120.0,-99.0,28.7,4,5,5.0,3,5.0,5
R0054,38,Female,Center,Bachelor,20290.0,37.2,26.2,4,3,,3,5.0,3
R0055,31,Male,South,Primary,7990.0,41.6,26.8,5,4,4.0,5,5.0,5
R0056,45,Female,West,Secondary,14070.0,60.2,39.0,3,1,3.0,4,2.0,4
R0057,44,Male,East,Primary,11020.0,49.1,43.2,4,4,5.0,4,4.0,5
R0058,18,Male,North,Master,,56.6,36.7,4,3,4.0,5,5.0,4
R0059,49,Female,Center,Secondary,22200.0,33.8,36.4,5,5,4.0,5,5.0,5
R0060,32,Male,North,Bachelor,,51.6,26.9,3,3,3.0,2,3.0,3
R0061,66,Female,South,Secondary,41510.0,42.3,24.1,4,5,2.0,5,3.0,5
R0062,51,Male,North,Bachelor,14000.0,36.9,38.5,3,5,4.0,5,3.0,2
R0063,52,Female,West,Master,32280.0,41.6,38.3,4,4,4.0,5,3.0,4
R0064,18,Female,North,PhD,,53.3,47.1,5,4,5.0,4,5.0,4
R0065,63,Male,North,Secondary,,64.3,40.6,3,2,3.0,3,3.0,4
R0066,41,Male,South,Master,21720.0,46.0,37.0,3,3,3.0,4,3.0,3
R0067,23,Female,East,Bachelor,15210.0,43.3,54.9,4,5,4.0,5,4.0,4
R0068,44,Male,South,Bachelor,24210.0,51.6,53.7,4,4,4.0,5,5.0,4
R0069,57,Male,North,Master,,41.5,37.8,3,3,5.0,3,3.0,1
R0070,20,Male,North,Master,17770.0,53.0,47.7,4,5,5.0,5,4.0,3
R0071,54,Female,North,Bachelor,,52.1,34.6,5,5,4.0,5,5.0,4
R0072,36,Male,North,Bachelor,30560.0,54.9,36.8,3,3,2.0,3,,4
R0073,33,Female,South,Bachelor,24660.0,45.1,33.2,3,4,2.0,5,1.0,3
R0074,35,Female,North,Bachelor,10630.0,41.6,25.2,4,5,5.0,4,4.0,5
R0075,30,Female,North,PhD,27890.0,38.1,,4,3,5.0,5,4.0,3
R0076,43,Male,South,Bachelor,20320.0,57.7,30.1,5,5,5.0,5,4.0,4
R0077,43,Female,East,Secondary,11840.0,25.4,,4,4,4.0,3,3.0,5
R0078,54,Female,Center,Primary,19540.0,42.5,22.9,5,5,5.0,4,5.0,5
R0079,58,Male,East,Bachelor,16870.0,46.5,34.9,4,2,4.0,3,3.0,5
R0080,36,Female,West,Bachelor,26600.0,43.2,38.9,3,3,4.0,2,4.0,2
R0081,54,Prefer not to say,West,Bachelor,33460.0,52.9,33.1,4,5,4.0,5,4.0,3
R0082,26,Male,North,Bachelor,,60.6,42.2,2,2,3.0,3,3.0,1
R0083,48,Female,South,PhD,,49.1,39.3,3,3,2.0,3,4.0,3
R0084,26,Female,South,Secondary,9890.0,48.6,,5,5,3.0,5,4.0,4
R0085,33,Female,South,Bachelor,34740.0,50.7,34.3,3,3,4.0,5,2.0,3
R0086,48,Female,North,Bachelor,24680.0,43.9,35.9,4,5,5.0,5,5.0,4
R0087,31,Female,East,PhD,25790.0,49.9,41.4,4,2,5.0,5,3.0,3
R0088,46,Male,East,Secondary,17330.0,44.2,34.4,5,5,5.0,5,5.0,5
R0089,22,Male,South,Master,36850.0,42.0,,5,5,4.0,4,5.0,5
R0090,31,Female,Center,Bachelor,19690.0,49.7,37.7,3,4,5.0,3,3.0,3
