invoice_id,datetime,customer_id,store,product,category,quantity,unit_price,revenue
INV00001,2024-07-28 15:00:00,K0251,Riyadh,Coffee,Beverages,1,6.03,6.03
INV00001,2024-07-28 15:00:00,K0251,Riyadh,Rice,Grocery,3,2.62,7.86
INV00001,2024-07-28 15:00:00,K0251,Riyadh,Sugar,Grocery,2,1.59,3.18
INV00001,2024-07-28 15:00:00,K0251,Riyadh,Tea,Beverages,2,3.76,7.52
INV00001,2024-07-28 15:00:00,K0251,Riyadh,Yogurt,Dairy,2,1.73,3.46
INV00002,2024-01-24 10:00:00,K0072,Casablanca,Bread,Bakery,1,1.27,1.27
INV00002,2024-01-24 10:00:00,K0072,Casablanca,Butter,Dairy,3,2.6,7.8
INV00002,2024-01-24 10:00:00,K0072,Casablanca,Chicken,Meat,1,8.84,8.84
INV00002,2024-01-24 10:00:00,K0072,Casablanca,Rice,Grocery,2,2.62,5.24
INV00003,2024-12-04 13:00:00,K0354,Riyadh,Bread,Bakery,1,1.08,1.08
INV00003,2024-12-04 13:00:00,K0354,Riyadh,Butter,Dairy,2,2.61,5.22
INV00003,2024-12-04 13:00:00,K0354,Riyadh,Coffee,Beverages,3,6.25,18.75
INV00003,2024-12-04 13:00:00,K0354,Riyadh,Pasta,Grocery,3,1.73,5.19
INV00003,2024-12-04 13:00:00,K0354,Riyadh,Tomato Sauce,Grocery,3,2.17,6.51
INV00004,2024-05-17 13:00:00,K0359,Casablanca,Coffee,Beverages,2,6.21,12.42
INV00004,2024-05-17 13:00:00,K0359,Casablanca,Dates,Produce,3,4.61,13.83
INV00004,2024-05-17 13:00:00,K0359,Casablanca,Pasta,Grocery,3,1.8,5.4
INV00004,2024-05-17 13:00:00,K0359,Casablanca,Rice,Grocery,3,2.36,7.08
INV00004,2024-05-17 13:00:00,K0359,Casablanca,Sugar,Grocery,1,1.44,1.44
INV00004,2024-05-17 13:00:00,K0359,Casablanca,Tomato Sauce,Grocery,2,2.01,4.02
INV00004,2024-05-17 13:00:00,K0359,Casablanca,Yogurt,Dairy,3,1.78,5.34
INV00005,2024-03-05 11:00:00,K0188,Riyadh,Olive Oil,Grocery,2,7.67,15.34
INV00005,2024-03-05 11:00:00,K0188,Riyadh,Sugar,Grocery,3,1.58,4.74
INV00006,2024-02-02 11:00:00,K0276,Cairo,Chicken,Meat,2,7.94,15.88
INV00006,2024-02-02 11:00:00,K0276,Cairo,Milk,Dairy,3,1.13,3.39
INV00006,2024-02-02 11:00:00,K0276,Cairo,Pasta,Grocery,1,1.62,1.62
INV00006,2024-02-02 11:00:00,K0276,Cairo,Tomato Sauce,Grocery,1,2.11,2.11
INV00006,2024-02-02 11:00:00,K0276,Cairo,Yogurt,Dairy,2,2.0,4.0
INV00007,2024-06-11 10:00:00,K0190,Amman,Bread,Bakery,2,1.12,2.24
INV00007,2024-06-11 10:00:00,K0190,Amman,Butter,Dairy,1,2.6,2.6
INV00007,2024-06-11 10:00:00,K0190,Amman,Milk,Dairy,2,1.02,2.04
INV00007,2024-06-11 10:00:00,K0190,Amman,Tea,Beverages,2,3.36,6.72
INV00007,2024-06-11 10:00:00,K0190,Amman,Water,Beverages,2,0.8,1.6
INV00007,2024-06-11 10:00:00,K0190,Amman,Yogurt,Dairy,1,1.79,1.79
INV00008,2024-09-23 11:00:00,K0203,Casablanca,Bread,Bakery,1,1.13,1.13
INV00008,2024-09-23 11:00:00,K0203,Casablanca,Butter,Dairy,3,2.35,7.05
INV00008,2024-09-23 11:00:00,K0203,Casablanca,Coffee,Beverages,3,5.78,17.34
INV00009,2024-06-06 19:00:00,K0250,Casablanca,Bread,Bakery,2,1.3,2.6
INV00009,2024-06-06 19:00:00,K0250,Casablanca,Rice,Grocery,2,2.31,4.62
INV00009,2024-06-06 19:00:00,K0250,Casablanca,Yogurt,Dairy,3,2.01,6.03
INV00010,2024-09-09 08:00:00,K0363,Cairo,Chicken,Meat,3,8.69,26.07
INV00010,2024-09-09 08:00:00,K0363,Cairo,Coffee,Beverages,1,6.52,6.52
INV00010,2024-09-09 08:00:00,K0363,Cairo,Rice,Grocery,3,2.54,7.62
INV00010,2024-09-09 08:00:00,K0363,Cairo,Sugar,Grocery,2,1.61,3.22
INV00010,2024-09-09 08:00:00,K0363,Cairo,Tomato Sauce,Grocery,2,2.02,4.04
INV00011,2024-10-27 18:00:00,K0263,Casablanca,Apples,Produce,2,2.96,5.92
INV00011,2024-10-27 18:00:00,K0263,Casablanca,Dates,Produce,3,4.71,14.13
INV00011,2024-10-27 18:00:00,K0263,Casablanca,Pasta,Grocery,3,1.98,5.94
INV00011,2024-10-27 18:00:00,K0263,Casablanca,Rice,Grocery,1,2.54,2.54
INV00011,2024-10-27 18:00:00,K0263,Casablanca,Tomato Sauce,Grocery,1,2.17,2.17
